pub-id,exp-id,paper,authors,institutes,city,country,climate-class,pub-year,data-avail,data-link,pub-type,pub-name,publisher,doi,exp-year-start,exp-year-end,exp-seasons,exp-month-start,exp-month-end,exp-type,function,exp-hours,timing-type,sample-size-calc,sample-size-calc-type,part-payment,part-no-tot,part-male-no,part-fem-no,part-intersex-no,fem-total-ratio,age-group,age-mean,age-std,age-male-mean,age-fem-mean,bmi-range,bmi-mean,bmi-std,bmi-male-mean,bmi-fem-mean,normalisation-length,session-length,tested-t-min,tested-t-max,tested-t-means-medians,physio-parameter,physio-sensor-type,physio-body-site,physio-body-site-sagittal,physio-body-site-coronal,skin-body-site-code,physio-sensor-brand,physio-sensor-model,physio-mst-calculated,physio-mst-points,physio-mst-formula,physio-formulas,env-tdb,env-rh,env-v,env-tg,env-tsurface,env-twb,env-co2,env-illuminance,env-acoustics,env-tout,env-rhout,env-voc,env-light-color,env-solar-rad,ques-thermal-comfort,ques-thermal-sensation,ques-thermal-prefer,ques-thermal-accept,ques-thermal-satisfaction,ques-thermal-pleasure,ques-thermal-pleasantness,ques-airmove-comfort,ques-airmove-sensation,ques-airmove-prefer,ques-airmove-accept,ques-humidity-sensation,ques-airmove-satisfaction,ques-shivering-rate,ques-overall-comfort,ques-overall-satisfaction,ques-humidity-comfort,ques-humidity-prefer,ques-humidity-satisfaction,ques-humidity-accept,ques-sweating-sensation,ques-visual-prefer,ques-light-comfort,ques-light-prefer,ques-light-sensation,ques-light-satisfaction,ques-iaq-comfort,ques-iaq-accept,ques-iaq-satisfaction,ques-iaq-sensation,ques-odour-intensity,ques-sick-building-syndrome,ques-acoustic-comfort,ques-acoustic-satisfaction,ques-acoustic-sensation,cognitive-test-done,cognitive-test-type,protocol-fixed-clo,protocol-observed-clo,protocol-avoid-stimulant,protocol-avoid-activity,protocol-avoid-heavy-food,protocol-rest-sleep,protocol-circadian,protocol-mens-timing,protocol-time-btw-sessions,protocol-instruction-practice,protocol-diary,protocol-maintain-usual-habits,protocol-blinded,protocol-random-order,protocol-food-drink-control,protocol-prep-body-site,protocol-not-walking,select-healthy,select-no-treatment,select-thermal-history,select-smoking,select-bmi-range,select-colour-weakness-eyesight,select-lang-skills,select-alcohol,select-dominant-hand,select-contraceptive-type,select-activity-level,select-chronotype,select-emotionally-stable,select-neurodivergent,select-thermal-sensitivity,select-pregnancy,select-diet-weight-change,select-hormone-therapy,select-menopause,part-meta-age,part-meta-sex,part-meta-height,part-meta-weight,part-meta-bmi,part-meta-ponderal-index,part-meta-body-fat,part-meta-ethnicity,part-meta-bsa,part-meta-thermal-history,part-meta-education-profession,part-meta-thermal-sensitivity-preference,part-meta-personality,part-meta-psych-eval,part-meta-smoking,part-meta-activity-level,part-meta-health-level,part-meta-morningness,part-meta-bmr,part-meta-alcohol-use,part-meta-mens-timing,part-meta-contraceptive-type,part-meta-muscle,part-meta-reg-coffee,part-meta-reg-sleep-time,part-meta-reg-work time
4,,Gender differences in thermal comfort under coupled environmental factors,"Heng Du, Zisheng Zhao, Junmeng Lyu, Jinbo Li, Zhiqiang Liu, Xiangyang Li, Yuxin Yang, Li Lan, Zhiwei Lian","Shanghai Jiao Tong University, Guangdong Midea Air-Conditioning Equipment Co., Ltd.",Shanghai,China,,2023,Not available for sharing,,J,Energy and Buildings,Elsevier,https://doi.org/10.1016/j.enbuild.2023.113345,,,,,"8, 9",Lab,Lounge,NR,NR,Y,Precedence,NR,27,13,14,0,52.00%,Young Adult (18-27),23.52,4.76,23.5,24,Normal,21.11,1.95,22.2,20.1,30,60,23,32,,Skin temperature,Thermochron,Cheek,NR,Anterior,3A,Pyrobutton,NR,N,NA,NA,,NR,NR,NR,NR,,,NR,,,,,,,,5pt_(-4)(0),7pt_(-3)(+3),3pt_(-1)(+1),2pt_(0)(1),,,,,4pt_(1)(4),3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Gender differences in thermal comfort under coupled environmental factors,"Heng Du, Zisheng Zhao, Junmeng Lyu, Jinbo Li, Zhiqiang Liu, Xiangyang Li, Yuxin Yang, Li Lan, Zhiwei Lian","Shanghai Jiao Tong University, Guangdong Midea Air-Conditioning Equipment Co., Ltd.",Shanghai,China,,2023,Not available for sharing,,J,Energy and Buildings,Elsevier,https://doi.org/10.1016/j.enbuild.2023.113345,,,,,"8, 9",Lab,Lounge,NR,NR,Y,Precedence,NR,27,13,14,0,52.00%,Young Adult (18-27),23.52,4.76,23.5,24,Normal,21.11,1.95,22.2,20.1,30,60,23,32,,Skin temperature,Thermochron,Chest,NR,Anterior,5A,Pyrobutton,NR,N,NA,NA,,NR,NR,NR,NR,,,NR,,,,,,,,5pt_(-4)(0),7pt_(-3)(+3),3pt_(-1)(+1),2pt_(0)(1),,,,,4pt_(1)(4),3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Gender differences in thermal comfort under coupled environmental factors,"Heng Du, Zisheng Zhao, Junmeng Lyu, Jinbo Li, Zhiqiang Liu, Xiangyang Li, Yuxin Yang, Li Lan, Zhiwei Lian","Shanghai Jiao Tong University, Guangdong Midea Air-Conditioning Equipment Co., Ltd.",Shanghai,China,,2023,Not available for sharing,,J,Energy and Buildings,Elsevier,https://doi.org/10.1016/j.enbuild.2023.113345,,,,,"8, 9",Lab,Lounge,NR,NR,Y,Precedence,NR,27,13,14,0,52.00%,Young Adult (18-27),23.52,4.76,23.5,24,Normal,21.11,1.95,22.2,20.1,30,60,23,32,,Skin temperature,Thermochron,Upper arm,NR,Anterior,10A,Pyrobutton,NR,N,NA,NA,,NR,NR,NR,NR,,,NR,,,,,,,,5pt_(-4)(0),7pt_(-3)(+3),3pt_(-1)(+1),2pt_(0)(1),,,,,4pt_(1)(4),3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Gender differences in thermal comfort under coupled environmental factors,"Heng Du, Zisheng Zhao, Junmeng Lyu, Jinbo Li, Zhiqiang Liu, Xiangyang Li, Yuxin Yang, Li Lan, Zhiwei Lian","Shanghai Jiao Tong University, Guangdong Midea Air-Conditioning Equipment Co., Ltd.",Shanghai,China,,2023,Not available for sharing,,J,Energy and Buildings,Elsevier,https://doi.org/10.1016/j.enbuild.2023.113345,,,,,"8, 9",Lab,Lounge,NR,NR,Y,Precedence,NR,27,13,14,0,52.00%,Young Adult (18-27),23.52,4.76,23.5,24,Normal,21.11,1.95,22.2,20.1,30,60,23,32,,Skin temperature,Thermochron,Forearm,NR,Anterior,11A,Pyrobutton,NR,N,NA,NA,,NR,NR,NR,NR,,,NR,,,,,,,,5pt_(-4)(0),7pt_(-3)(+3),3pt_(-1)(+1),2pt_(0)(1),,,,,4pt_(1)(4),3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Gender differences in thermal comfort under coupled environmental factors,"Heng Du, Zisheng Zhao, Junmeng Lyu, Jinbo Li, Zhiqiang Liu, Xiangyang Li, Yuxin Yang, Li Lan, Zhiwei Lian","Shanghai Jiao Tong University, Guangdong Midea Air-Conditioning Equipment Co., Ltd.",Shanghai,China,,2023,Not available for sharing,,J,Energy and Buildings,Elsevier,https://doi.org/10.1016/j.enbuild.2023.113345,,,,,"8, 9",Lab,Lounge,NR,NR,Y,Precedence,NR,27,13,14,0,52.00%,Young Adult (18-27),23.52,4.76,23.5,24,Normal,21.11,1.95,22.2,20.1,30,60,23,32,,Skin temperature,Thermochron,Thigh,NR,Anterior,17A,Pyrobutton,NR,N,NA,NA,,NR,NR,NR,NR,,,NR,,,,,,,,5pt_(-4)(0),7pt_(-3)(+3),3pt_(-1)(+1),2pt_(0)(1),,,,,4pt_(1)(4),3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,Gender differences in thermal comfort under coupled environmental factors,"Heng Du, Zisheng Zhao, Junmeng Lyu, Jinbo Li, Zhiqiang Liu, Xiangyang Li, Yuxin Yang, Li Lan, Zhiwei Lian","Shanghai Jiao Tong University, Guangdong Midea Air-Conditioning Equipment Co., Ltd.",Shanghai,China,,2023,Not available for sharing,,J,Energy and Buildings,Elsevier,https://doi.org/10.1016/j.enbuild.2023.113345,,,,,"8, 9",Lab,Lounge,NR,NR,Y,Precedence,NR,27,13,14,0,52.00%,Young Adult (18-27),23.52,4.76,23.5,24,Normal,21.11,1.95,22.2,20.1,30,60,23,32,,Skin temperature,Thermochron,Calf,NR,Posterior,22P,Pyrobutton,NR,N,NA,NA,,NR,NR,NR,NR,,,NR,,,,,,,,5pt_(-4)(0),7pt_(-3)(+3),3pt_(-1)(+1),2pt_(0)(1),,,,,4pt_(1)(4),3pt_(-1)(+1),,,,,,,,,,,,,,,,,,,,,,,,,,N,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,"Effects of indoor temperature on office workers' performance: an experimental study based on subjective assessments, neurobehavioral tests, and physiological measurements","Xiaona Fan, Yiyun Zhu",Xi’an University of Technology,Xi’an,China,,2023,Upon request,,J,Ergonomics,Taylor & Francis,https://doi.org/10.1080/00140139.2023.2231181,,,,,1,Lab,Office,NR,NR,NR,NA,Y,12,6,6,0,50.00%,Young Adult (18-27),25.76,2.07,25.8,25.8,NR,21.78,2.71,23.99,19.59,30,40,12,23,,Blood pressure,Digital sphygmomanometer,Wrist,Left,NA,NA,OMRON,HEM-6121,NA,NA,NA,,0.6,0.6,0.6,0.6,,,,0.6,0.6,,,,,,,7pt_(-3)(+3),,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"Visual learning, Digit span test, Grammatical/Deductive/Sequential reasoning, Overlapping, Redirection, Digit search, Letter search, Schulte grid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,"Effects of indoor temperature on office workers' performance: an experimental study based on subjective assessments, neurobehavioral tests, and physiological measurements","Xiaona Fan, Yiyun Zhu",Xi’an University of Technology,Xi’an,China,,2023,Upon request,,J,Ergonomics,Taylor & Francis,https://doi.org/10.1080/00140139.2023.2231181,,,,,1,Lab,Office,NR,NR,NR,NA,Y,12,6,6,0,50.00%,Young Adult (18-27),25.76,2.07,25.8,25.8,NR,21.78,2.71,23.99,19.59,30,40,12,23,,Heart rate,Digital sphygmomanometer,Wrist,Left,NA,NA,OMRON,HEM-6121,NA,NA,NA,,0.6,0.6,0.6,0.6,,,,0.6,0.6,,,,,,,7pt_(-3)(+3),,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"Visual learning, Digit span test, Grammatical/Deductive/Sequential reasoning, Overlapping, Redirection, Digit search, Letter search, Schulte grid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,"Effects of indoor temperature on office workers' performance: an experimental study based on subjective assessments, neurobehavioral tests, and physiological measurements","Xiaona Fan, Yiyun Zhu",Xi’an University of Technology,Xi’an,China,,2023,Upon request,,J,Ergonomics,Taylor & Francis,https://doi.org/10.1080/00140139.2023.2231181,,,,,1,Lab,Office,NR,NR,NR,NA,Y,12,6,6,0,50.00%,Young Adult (18-27),25.76,2.07,25.8,25.8,NR,21.78,2.71,23.99,19.59,30,40,12,23,,Skin temperature,Infrared thermometer,Forehead,Middle,Anterior,1AM,Omega,HXK200,N,NA,NA,,0.6,0.6,0.6,0.6,,,,0.6,0.6,,,,,,,7pt_(-3)(+3),,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"Visual learning, Digit span test, Grammatical/Deductive/Sequential reasoning, Overlapping, Redirection, Digit search, Letter search, Schulte grid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,"Effects of indoor temperature on office workers' performance: an experimental study based on subjective assessments, neurobehavioral tests, and physiological measurements","Xiaona Fan, Yiyun Zhu",Xi’an University of Technology,Xi’an,China,,2023,Upon request,,J,Ergonomics,Taylor & Francis,https://doi.org/10.1080/00140139.2023.2231181,,,,,1,Lab,Office,NR,NR,NR,NA,Y,12,6,6,0,50.00%,Young Adult (18-27),25.76,2.07,25.8,25.8,NR,21.78,2.71,23.99,19.59,30,40,12,23,,Blood oxygen saturation,Pulse oximeter,Finger,Right,Posterior,,Heal Force,A3,NA,NA,NA,,0.6,0.6,0.6,0.6,,,,0.6,0.6,,,,,,,7pt_(-3)(+3),,,7pt_(-3)(+3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,"Visual learning, Digit span test, Grammatical/Deductive/Sequential reasoning, Overlapping, Redirection, Digit search, Letter search, Schulte grid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
